SPECTRUM - MS
D:\BRODBELT_DATA\Kyle\Supercharging\11122021\Ubq\Std\11122021_Ubq_Std_8+_UVPD2m1p.raw
Data points: 497
Mass,Intensity
8270.4465,7194.07
8284.4944,83612.53
8285.4867,4953.85
8299.5123,28211.07
8301.5121,4757.57
8327.5092,44388.55
8340.5205,4116.15
8354.543,5536.48
8378.5746,9712.63
8383.5287,23432.34
8389.5578,9573.45
8399.6137,126395.28
8407.5747,19807.28
8412.5707,77702.71
8422.6273,16909.56
8427.5678,88813.71
8432.584,28333.4
8441.6117,99192.03
8445.5705,28358.34
8452.5814,496664.44
8456.5979,37745.55
8458.5915,151124.19
8459.5307,33495.48
8468.5697,251743.34
8471.5943,10531.35
8472.5777,45100.19
8476.601,41345.18
8484.598,1076961.41
8487.5413,6478.24
8490.6116,51986.44
8497.6117,129742.05
8501.6225,352118.42
8505.5863,40663.94
8514.6195,3135966.02
8527.6211,144429.8
8531.6293,1230278.2
8542.6108,445824.02
8544.6273,663204
8558.6273,32845264.55
8562.5585,13513780.92
8588.5651,4502.62
